sku,name,category,type,short_description,description,specs,brand,pack_size,image,featured,keywords
SP-KIT,SurePoli® Assorted Polishing Disc Intro Kit,Restorative,Polishing Discs,Assorted finishing & polishing disc introductory kit.,"A complete introduction to the SurePoli® system with an assortment of grits for contouring, finishing and polishing composite restorations to a natural, high-shine surface that matches surrounding dentition.",Assorted disc kit; ~30 discs per grit; snap-on RA mandrel system,SurePoli,Assorted kit,SP-KIT.jpg,,"polishing discs, finishing discs, composite polishing kit, surepoli, restoration finishing"
SP-D127-C,"SurePoli® Polishing Disc Refills — Coarse, 1/2"" (12.7 mm)",Restorative,Polishing Discs,"Coarse snap-on finishing & polishing discs, 1/2"" (12.7 mm).","Coarse-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Coarse grit; 1/2"" (12.7 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D127-C.jpg,,"polishing discs, coarse discs, finishing discs, 1/2"" (12.7 mm) discs, composite polishing"
SP-D95-C,"SurePoli® Polishing Disc Refills — Coarse, 3/8"" (9.5 mm)",Restorative,Polishing Discs,"Coarse snap-on finishing & polishing discs, 3/8"" (9.5 mm).","Coarse-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Coarse grit; 3/8"" (9.5 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D95-C.jpg,,"polishing discs, coarse discs, finishing discs, 3/8"" (9.5 mm) discs, composite polishing"
SP-D127-F,"SurePoli® Polishing Disc Refills — Fine, 1/2"" (12.7 mm)",Restorative,Polishing Discs,"Fine snap-on finishing & polishing discs, 1/2"" (12.7 mm).","Fine-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Fine grit; 1/2"" (12.7 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D127-F.jpg,,"polishing discs, fine discs, finishing discs, 1/2"" (12.7 mm) discs, composite polishing"
SP-D95-F,"SurePoli® Polishing Disc Refills — Fine, 3/8"" (9.5 mm)",Restorative,Polishing Discs,"Fine snap-on finishing & polishing discs, 3/8"" (9.5 mm).","Fine-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Fine grit; 3/8"" (9.5 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D95-F.jpg,,"polishing discs, fine discs, finishing discs, 3/8"" (9.5 mm) discs, composite polishing"
SP-D127-M,"SurePoli® Polishing Disc Refills — Medium, 1/2"" (12.7 mm)",Restorative,Polishing Discs,"Medium snap-on finishing & polishing discs, 1/2"" (12.7 mm).","Medium-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Medium grit; 1/2"" (12.7 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D127-M.jpg,,"polishing discs, medium discs, finishing discs, 1/2"" (12.7 mm) discs, composite polishing"
SP-D95-M,"SurePoli® Polishing Disc Refills — Medium, 3/8"" (9.5 mm)",Restorative,Polishing Discs,"Medium snap-on finishing & polishing discs, 3/8"" (9.5 mm).","Medium-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Medium grit; 3/8"" (9.5 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D95-M.jpg,,"polishing discs, medium discs, finishing discs, 3/8"" (9.5 mm) discs, composite polishing"
SP-D127-SF,"SurePoli® Polishing Disc Refills — Super Fine, 1/2"" (12.7 mm)",Restorative,Polishing Discs,"Super Fine snap-on finishing & polishing discs, 1/2"" (12.7 mm).","Super Fine-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Super Fine grit; 1/2"" (12.7 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D127-SF.jpg,,"polishing discs, super fine discs, finishing discs, 1/2"" (12.7 mm) discs, composite polishing"
SP-D95-SF,"SurePoli® Polishing Disc Refills — Super Fine, 3/8"" (9.5 mm)",Restorative,Polishing Discs,"Super Fine snap-on finishing & polishing discs, 3/8"" (9.5 mm).","Super Fine-grit snap-on discs for the SurePoli® system — part of a four-step sequence from gross reduction through to high-shine polishing of composite, glass ionomer and other restoratives.","Snap-on discs; Super Fine grit; 3/8"" (9.5 mm) diameter; RA mandrel mount; 85 per pack",SurePoli,85/pk,SP-D95-SF.jpg,,"polishing discs, super fine discs, finishing discs, 3/8"" (9.5 mm) discs, composite polishing"
STC-BND100,SureTact® Classic Matrix Bands,Restorative,Matrix Bands,Tofflemire-style matrix bands for the Classic retainer.,Contoured Tofflemire-style stainless steel matrix bands for use with the SureTact® Classic retainer in Class II restorations.,Stainless steel Tofflemire bands; assorted gauges (confirm sizes on Markson price list),SureTact,refill pk,STC-BND100.jpg,,"tofflemire bands, matrix bands, class ii bands, stainless steel matrix"
STG3-B35,SureTact® G3 MirrorCoat™ Matrix Bands Refill — 3.5 mm,Restorative,Matrix Refill,"Ultra-thin MirrorCoat™ contoured sectional matrix bands, 3.5 mm.","MirrorCoat™ surface finishing makes matrix removal easier and reduces light reflection for better visibility. Greater curvature gives anatomical precision with less interference during ring placement, and the Smart-Loop™ aids precise insertion and removal.",Ultra-thin 0.035 mm; MirrorCoat™ coated; Smart-Loop™; size 3.5 mm; Palodent/Triodent compatible,SureTact,100/pk,STG3-B35.jpg,,"sectional matrix bands, mirrorcoat matrix, 3.5 mm matrix, contoured matrix refill, g3 bands"
STG3-B45,SureTact® G3 MirrorCoat™ Matrix Bands Refill — 4.5 mm,Restorative,Matrix Refill,"Ultra-thin MirrorCoat™ contoured sectional matrix bands, 4.5 mm.","MirrorCoat™ surface finishing makes matrix removal easier and reduces light reflection for better visibility. Greater curvature gives anatomical precision with less interference during ring placement, and the Smart-Loop™ aids precise insertion and removal.",Ultra-thin 0.035 mm; MirrorCoat™ coated; Smart-Loop™; size 4.5 mm; Palodent/Triodent compatible,SureTact,100/pk,STG3-B45.jpg,,"sectional matrix bands, mirrorcoat matrix, 4.5 mm matrix, contoured matrix refill, g3 bands"
STG3-B55,SureTact® G3 MirrorCoat™ Matrix Bands Refill — 5.5 mm,Restorative,Matrix Refill,"Ultra-thin MirrorCoat™ contoured sectional matrix bands, 5.5 mm.","MirrorCoat™ surface finishing makes matrix removal easier and reduces light reflection for better visibility. Greater curvature gives anatomical precision with less interference during ring placement, and the Smart-Loop™ aids precise insertion and removal.",Ultra-thin 0.035 mm; MirrorCoat™ coated; Smart-Loop™; size 5.5 mm; Palodent/Triodent compatible,SureTact,100/pk,STG3-B55.jpg,,"sectional matrix bands, mirrorcoat matrix, 5.5 mm matrix, contoured matrix refill, g3 bands"
STG3-B65,SureTact® G3 MirrorCoat™ Matrix Bands Refill — 6.5 mm,Restorative,Matrix Refill,"Ultra-thin MirrorCoat™ contoured sectional matrix bands, 6.5 mm.","MirrorCoat™ surface finishing makes matrix removal easier and reduces light reflection for better visibility. Greater curvature gives anatomical precision with less interference during ring placement, and the Smart-Loop™ aids precise insertion and removal.",Ultra-thin 0.035 mm; MirrorCoat™ coated; Smart-Loop™; size 6.5 mm; Palodent/Triodent compatible,SureTact,100/pk,STG3-B65.jpg,,"sectional matrix bands, mirrorcoat matrix, 6.5 mm matrix, contoured matrix refill, g3 bands"
STC-RET,SureTact® Classic Tofflemire-Style Matrix Retainer,Restorative,Matrix Retainer,Classic Tofflemire-style matrix band retainer.,A dependable Tofflemire-style retainer that securely holds matrix bands during Class II amalgam and composite restorations.,Single-piece Tofflemire-style retainer; stainless steel; autoclavable,SureTact,1 pc,STC-RET.jpg,,"tofflemire retainer, matrix retainer, matrix band holder, class ii matrix"
STG3-RING2,SureTact® G3 Sectional Matrix Universal Ring Refill — Blue,Restorative,Matrix Ring,"Universal Nickel-Titanium sectional matrix ring, blue.","A single universal Nickel-Titanium ring design with ELAMAX technology delivers excellent, consistent holding force across premolar and molar restorations — simplifying operation with one ring for all.",Nickel-titanium with ELAMAX tech; universal (one-ring-for-all); blue; 2 per pack,SureTact,2/pk,STG3-RING2.jpg,,"sectional matrix ring, niti ring, universal matrix ring, g3 ring, class ii ring"
STG3-KIT,SureTact® G3 Sectional Matrix System — Full Kit,Restorative,Sectional Matrix Kit,Complete sectional matrix system for predictable Class II restorations.,"The SureTact® G3 sectional matrix system pairs Nickel-Titanium rings, anatomically contoured MirrorCoat™ bands and adaptable self-guiding wedges to deliver dependable, tight contacts that mimic natural tooth anatomy — even with extensive cavities or absent cusps.","100 matrices (25 each 3.5/4.5/5.5/6.5 mm), 75 wedges (25 each S/M/L), 2 universal NiTi rings, 1 forceps, 1 pin tweezers",SureTact,1 kit,STG3-KIT.jpg,,"sectional matrix system, g3 matrix, class ii matrix, nickel titanium ring, palodent alternative, contoured matrix"
STG3-KITA,SureTact® G3 Sectional Matrix System — Intro Kit (A),Restorative,Sectional Matrix Kit,Introductory sectional matrix kit including placement forceps.,"A starter configuration of the SureTact® G3 sectional matrix system that includes the ring-placement forceps, ideal for practices new to the system.","Includes matrices, wedges, universal ring(s) and placement forceps",SureTact,1 kit,STG3-KITA.jpg,,"g3 intro kit, sectional matrix starter, matrix system with forceps"
STG3-KITB,SureTact® G3 Sectional Matrix System — Intro Kit (B),Restorative,Sectional Matrix Kit,Introductory sectional matrix kit without forceps.,A starter configuration of the SureTact® G3 sectional matrix system for practices that already own compatible placement forceps.,"Includes matrices, wedges and universal ring(s); no forceps",SureTact,1 kit,STG3-KITB.jpg,,"g3 intro kit, sectional matrix starter, matrix system no forceps"
STC-WDG100,SureTact® Classic Wood Wedges,Restorative,Wedges,Anatomically shaped wooden interdental wedges.,"Wooden interdental wedges that stabilise matrix bands and improve gingival adaptation for tight, well-sealed proximal contacts.",Wooden; assorted sizes; 100 per pack,SureTact,100/pk,STC-WDG100.jpg,,"wooden wedges, interdental wedges, dental wedges, matrix wedges"
STG3-WL,SureTact® G3 Contoured Wedge Refills — Large,Restorative,Wedges,"Self-guiding contoured sectional wedges, Large.",Wave-shaped wings compress on entry and flare upon exit for easy placement and a true fit and seal at the gingival margin.,Contoured self-guiding wedges; Large; 100 per pack,SureTact,100/pk,STG3-WL.jpg,,"sectional wedges, contoured wedges, large wedge, g3 wedges, interdental wedges"
STG3-WM,SureTact® G3 Contoured Wedge Refills — Medium,Restorative,Wedges,"Self-guiding contoured sectional wedges, Medium.",Wave-shaped wings compress on entry and flare upon exit for easy placement and a true fit and seal at the gingival margin.,Contoured self-guiding wedges; Medium; 100 per pack,SureTact,100/pk,STG3-WM.jpg,,"sectional wedges, contoured wedges, medium wedge, g3 wedges, interdental wedges"
STG3-WS,SureTact® G3 Contoured Wedge Refills — Small,Restorative,Wedges,"Self-guiding contoured sectional wedges, Small.",Wave-shaped wings compress on entry and flare upon exit for easy placement and a true fit and seal at the gingival margin.,Contoured self-guiding wedges; Small; 100 per pack,SureTact,100/pk,STG3-WS.jpg,,"sectional wedges, contoured wedges, small wedge, g3 wedges, interdental wedges"
GS-ENDO,iTesla GS Endo,Endodontics,Electric Endo Handpiece,Electric endodontic handpiece.,iTesla GS Endo electric handpiece configured for endodontic canal preparation.,Endodontic,AMW,Each,GS-ENDO.jpg,,"endo handpiece, electric endo, iTesla GS Endo, endodontics"
G500-R6,iTesla G500-R6:1,Endodontics,Endo Reduction Contra-Angle,6:1 reduction endo contra-angle.,iTesla G500-R 6:1 reduction contra-angle for endodontic file systems requiring speed reduction.,6:1 reduction,AMW,Each,G500-R6.jpg,,"endo contra angle, 6:1 reduction, endodontics, iTesla G500-R6"
NU-LG,NuOne™ Reciprocating Endo File — Large,Endodontics,Reciprocating Files,"Single-file NiTi reciprocating endodontic file, Large.","NuOne™ reciprocating files are refined with advanced design elements developed with leading endodontists to enhance patient safety while shortening shaping time. Heat-treated NiTi minimises instrument fatigue for safer, more consistent results — performance comparable to WaveOne Gold.",NiTi reciprocating single-file; Large (45/.05 indicative — confirm tip/taper on Markson spec); lengths 21/25/31 mm; single-use,NuOne,per pk,NU-LG.jpg,,"reciprocating file, niti endo file, large file, single file endo, waveone gold alternative, nuone"
NU-MD,NuOne™ Reciprocating Endo File — Medium,Endodontics,Reciprocating Files,"Single-file NiTi reciprocating endodontic file, Medium.","NuOne™ reciprocating files are refined with advanced design elements developed with leading endodontists to enhance patient safety while shortening shaping time. Heat-treated NiTi minimises instrument fatigue for safer, more consistent results — performance comparable to WaveOne Gold.",NiTi reciprocating single-file; Medium (35/.06 indicative — confirm tip/taper on Markson spec); lengths 21/25/31 mm; single-use,NuOne,per pk,NU-MD.jpg,,"reciprocating file, niti endo file, medium file, single file endo, waveone gold alternative, nuone"
NU-PR,NuOne™ Reciprocating Endo File — Primary,Endodontics,Reciprocating Files,"Single-file NiTi reciprocating endodontic file, Primary.","NuOne™ reciprocating files are refined with advanced design elements developed with leading endodontists to enhance patient safety while shortening shaping time. Heat-treated NiTi minimises instrument fatigue for safer, more consistent results — performance comparable to WaveOne Gold.",NiTi reciprocating single-file; Primary (25/.07 indicative — confirm tip/taper on Markson spec); lengths 21/25/31 mm; single-use,NuOne,per pk,NU-PR.jpg,,"reciprocating file, niti endo file, primary file, single file endo, waveone gold alternative, nuone"
NU-SM,NuOne™ Reciprocating Endo File — Small,Endodontics,Reciprocating Files,"Single-file NiTi reciprocating endodontic file, Small.","NuOne™ reciprocating files are refined with advanced design elements developed with leading endodontists to enhance patient safety while shortening shaping time. Heat-treated NiTi minimises instrument fatigue for safer, more consistent results — performance comparable to WaveOne Gold.",NiTi reciprocating single-file; Small (20/.07 indicative — confirm tip/taper on Markson spec); lengths 21/25/31 mm; single-use,NuOne,per pk,NU-SM.jpg,,"reciprocating file, niti endo file, small file, single file endo, waveone gold alternative, nuone"
ENBIO-PRO,Enbio Pro,Sterilization,Autoclave (Class B),Higher-capacity Class B autoclave (from 9 min).,"Enbio Pro Class B medical autoclave with a double-size chamber and increased capacity for busy practices, with fast cycles from 9 minutes.",Class B (EN 13060) | 134°C | cycle from 9 min | double-size chamber | Swiss design,Enbio,Each,ENBIO-PRO.jpg,,"autoclave, class B, higher capacity, Enbio Pro, steam sterilizer"
ENBIO-S,Enbio S,Sterilization,Autoclave (Class B),"Compact, ultra-fast Class B autoclave (from 7 min).","Enbio S small, fast and powerful Class B medical autoclave with sterilization cycles from 7 minutes, triple vacuum and full drying. Compact, lightweight and quiet, with Swiss design and EN 13060 certification.",Class B (EN 13060) | 134°C | cycle from 7 min | ~38 dB | ~15 kg | Swiss design,Enbio,Each,ENBIO-S.jpg,,"autoclave, class B, fast sterilizer, Enbio S, steam sterilizer"
ENBIO-S-BE,Enbio S Beauty Edition,Sterilization,Autoclave (Class B),Class B autoclave styled for beauty/aesthetics.,"Enbio S Beauty Edition Class B medical autoclave combining elegant, compact design with medical-grade safety for aesthetic, beauty and studio settings; cycles from 7 minutes.",Class B (EN 13060) | 134°C | cycle from 7 min | ~38 dB | ~15 kg | Swiss design,Enbio,Each,ENBIO-S-BE.jpg,,"autoclave, class B, beauty edition, Enbio S, sterilizer"
ENBIO-TABLE,Enbio Table,Sterilization,Autoclave Accessory,Table/stand for Enbio autoclaves.,Enbio Table accessory providing a dedicated stand/surface for Enbio autoclaves.,Accessory,Enbio,Each,ENBIO-TABLE.jpg,,"autoclave accessory, stand, table, Enbio"
MAGIC-FILTER,Magic Filter,Sterilization,Water Recycling Filter,Water-recycling filter for Enbio autoclaves.,"Enbio Magic Filter recycles water, allowing up to 1,000 processes or about 6 months on a single litre of distilled water.","Up to 1,000 processes / ~6 months per 1 L distilled water",Enbio,Each,MAGIC-FILTER.jpg,,"water filter, water recycling, autoclave accessory, Magic Filter, Enbio"
CLAVE16,Clave16+ Autoclave,Sterilization,Autoclave,"Class S steam sterilizer, 16 L class chamber.",Flight Clave16+ Class S steam sterilizer with a 16 L class chamber for busy operatories.,Class S | ~16 L chamber class,Flight Dental Systems,,CLAVE16.jpg,,"autoclave, class S, steam sterilizer, Clave16, sterilization"
CLAVE23,Clave23+ Autoclave,Sterilization,Autoclave,"Class S steam sterilizer, 23 L class chamber.",Flight Clave23+ Class S steam sterilizer with a 23 L class chamber for higher throughput.,Class S | ~23 L chamber class,Flight Dental Systems,,CLAVE23.jpg,,"autoclave, class S, steam sterilizer, Clave23, sterilization"
CLAVE28,Clave28+ Autoclave,Sterilization,Autoclave,"Class S steam sterilizer, 28 L class chamber.",Flight Clave28+ Class S steam sterilizer with a 23 L class chamber for higher throughput.,Class S | ~28 L chamber class,Flight Dental Systems,,CLAVE28.jpg,yes,"autoclave, class S, steam sterilizer, Clave28, sterilization"
CLAVE45,Clave45+ Steam Sterilizer,Sterilization,Autoclave,"Class S steam sterilizer, 45 L class chamber.",Flight Clave45+ high-capacity Class S steam sterilizer for high-volume sterilization needs.,Class S | ~45 L chamber class,Flight Dental Systems,,CLAVE45.jpg,,"autoclave, class S, large capacity, Clave45, sterilizer"
CLAVE8,Clave8+ Autoclave,Sterilization,Autoclave,"Class S steam sterilizer, 8 L class chamber.",Flight Clave8+ Class S steam sterilizer with an 8 L class chamber for smaller practices.,Class S | ~8 L chamber class,Flight Dental Systems,,CLAVE8.jpg,,"autoclave, class S, steam sterilizer, Clave8, sterilization"
CLAVE-B,Clave B Autoclave,Sterilization,Autoclave (Class B),Class B steam sterilizer.,Flight Clave B Class B steam sterilizer for instrument sterilization.,Class B | ~8 to 45 L chamber class,Flight Dental Systems,,CLAVE-B.jpg,,"autoclave, class B, steam sterilizer, Clave B, sterilization"
F-CASS10,Sterilization Cassettes 10,Sterilization,Sterilization Cassette,Instrument sterilization cassettes.,Electron Series sterilization cassettes for organising and protecting instruments through the sterilization cycle.,Holds 10 Instruments,Flight Dental Systems,,F-CASS10.jpg,,"sterilization cassette, instrument cassette, Electron Series"
F-CASS15,Sterilization Cassettes 15,Sterilization,Sterilization Cassette,Instrument sterilization cassettes.,Electron Series sterilization cassettes for organising and protecting instruments through the sterilization cycle.,Holds 15 Instruments,Flight Dental Systems,,F-CASS15.jpg,,"sterilization cassette, instrument cassette, Electron Series"
F-CASS20,Sterilization Cassettes 20,Sterilization,Sterilization Cassette,Instrument sterilization cassettes.,Electron Series sterilization cassettes for organising and protecting instruments through the sterilization cycle.,Holds 20 Instruments,Flight Dental Systems,,F-CASS20.jpg,,"sterilization cassette, instrument cassette, Electron Series"
F-CASS5,Sterilization Cassettes 5,Sterilization,Sterilization Cassette,Instrument sterilization cassettes.,Electron Series sterilization cassettes for organising and protecting instruments through the sterilization cycle.,Holds 5 Instruments,Flight Dental Systems,,F-CASS5.jpg,,"sterilization cassette, instrument cassette, Electron Series"
UC-6100,Flight Ultrasonic Cleaner 10L,Sterilization,Ultrasonic Cleaner,"10 L stainless steel cleaning tank
","The stainless steel construction provides durability and resistance to corrosion from cleaning solutions used in dental instrument processing. For dental practices seeking dependable instrument cleaning and improved sterilization workflow efficiency, it is also the best professional ultrasonic instrument cleaner for dental sterilization rooms and clinical instrument decontamination.","40 kHz ultrasonic cleaning frequency
120 W/60 W cleaning power
10 L stainless steel cleaning tank
Quantity: 1 ultrasonic cleaner per box
200 W heating system for solution",Flight Dental Systems,,UC-6100.jpg,,"ultrasonic cleaner, sterilization, dental tools"
UC-6220,Flight Ultrasonic Cleaner 22L,Sterilization,Ultrasonic Cleaner,"22 L stainless steel cleaning tank
","The stainless steel construction provides durability and resistance to corrosion from cleaning solutions used in dental instrument processing. For dental practices seeking dependable instrument cleaning and improved sterilization workflow efficiency, it is also the best professional ultrasonic instrument cleaner for dental sterilization rooms and clinical instrument decontamination.","40 kHz ultrasonic cleaning frequency
120 W/60 W cleaning power
22 L stainless steel cleaning tank
Quantity: 1 ultrasonic cleaner per box
200 W heating system for solution",Flight Dental Systems,,UC-6220.jpg,,"ultrasonic cleaner, sterilization, tools"
UC-6032,Flight Ultrasonic Cleaner 3.2L,Sterilization,Ultrasonic Cleaner,"3.2 L stainless steel cleaning tank
","The stainless steel construction provides durability and resistance to corrosion from cleaning solutions used in dental instrument processing. For dental practices seeking dependable instrument cleaning and improved sterilization workflow efficiency, it is also the best professional ultrasonic instrument cleaner for dental sterilization rooms and clinical instrument decontamination.","40 kHz ultrasonic cleaning frequency
120 W/60 W cleaning power
3.2 L stainless steel cleaning tank
Quantity: 1 ultrasonic cleaner per box
200 W heating system for solution",Flight Dental Systems,,UC-6032.jpg,,"ultrasonic cleaner, sterilization, dental tools"
UC-6065,Flight Ultrasonic Cleaner 6.5L,Sterilization,Ultrasonic Cleaner,6.5 L stainless steel cleaning tank,"The stainless steel construction provides durability and resistance to corrosion from cleaning solutions used in dental instrument processing. For dental practices seeking dependable instrument cleaning and improved sterilization workflow efficiency, it is also the best professional ultrasonic instrument cleaner for dental sterilization rooms and clinical instrument decontamination.","40 kHz ultrasonic cleaning frequency
120 W/60 W cleaning power
6.5 L stainless steel cleaning tank
Quantity: 1 ultrasonic cleaner per box
200 W heating system for solution",Flight Dental Systems,,UC-6065.jpg,,"ultrasonic cleaner, sterilization, dental tools"
FD-REF10,Flowdam® Flowable Dental Dam — Syringe Refill,Infection Control,Flowable Dam,"Light-cured flowable gingival/dental dam barrier, syringe refill.","Flowdam® is a light-cured, passively adhesive material barrier formulated in green for safe, unmistakable protection every time. It offers ideal thixotropy, polymerisation time and final hardness to create a perfect barrier for restorative, whitening and isolation procedures.",Light-cured resin barrier; green; 2 mL syringes; 10 syringes per pack,Flowdam,10 x 2 mL syringes,FD-REF10.jpg,,"flowable dental dam, liquid dam, gingival barrier, light cured dam, tissue barrier, flowdam"
PX-900,MARS PX 900 Air Purification,Infection Control,Air Purifier,"Air purifier for up to 2,000 sq ft.","MARS PX 900 air purification unit, standalone or wall-mountable, for spaces up to 2,000 sq ft such as waiting rooms and offices.","Up to 2,000 sq ft | standalone or wall-mount",MARS Bio-Med,Each,PX-900.jpg,,"air purifier, air disinfection, PX 900, waiting room, indoor air quality"
S300,MARS S300 Air Purification,Infection Control,Air Purifier,"HEPA + disinfection air purifier, up to 4,000 sq ft.","MARS S300 air purification unit combining HEPA filtration and disinfection to eradicate bacteria, viruses and mold for spaces up to 4,000 sq ft.","HEPA + disinfection | up to 4,000 sq ft",MARS Bio-Med,Each,S300.jpg,,"air purifier, HEPA, air disinfection, S300, indoor air quality"
MARSBUCK,Amalgam Bucket,Infection Control,Amalgam Recycling Container,UN/DOT amalgam recycling container with return shipping.,"Amalgam Bucket UN/DOT-approved storage and shipping container with prepaid return shipping, for recycling chair-side traps, teeth with amalgam, spent amalgam capsules and contact/non-contact amalgam.",UN/DOT approved | prepaid return shipping,MARS Bio-Med,2.5 gal (9.5 L) / 5 gal (19 L),MARSBUCK.jpg,,"amalgam recycling, amalgam bucket, mercury recycling, waste container"
LIBERTY,LibertyBOSS Amalgam Separator,Infection Control,Amalgam Separator,Maintenance-free amalgam separator.,"LibertyBOSS amalgam separator requiring no maintenance for up to 3 years and no filter changes, while meeting current EPA standards for mercury reduction.",No maintenance up to 3 years | no filters | meets EPA mercury standards,MARS Bio-Med,Each,LIBERTY.jpg,,"amalgam separator, mercury reduction, EPA compliant, LibertyBOSS, waste management"
MARSST,MARS Super Trap,Infection Control,Amalgam Trap,Weekly-change amalgam trap.,"MARS Super Trap amalgam trap that is simple to install and changed weekly, with no exposure to methylmercury and a reduced mercury footprint.",Change weekly | no methylmercury exposure,MARS Bio-Med,Each,MARSST.jpg,,"amalgam trap, mercury, super trap, waste management"
CLINZ,CleanLINZ,Infection Control,Evacuation Cleaner,Quarterly evacuation-line cleaner.,"CleanLINZ evacuation system cleaner that eliminates sludge and odour; biodegradable and safe for all pipes, applied quarterly.",Quarterly | biodegradable | pipe-safe,MARS Bio-Med,,CLINZ.jpg,,"evacuation cleaner, suction line cleaner, biodegradable, CleanLINZ"
PLINZ,PowerLINZ,Infection Control,Evacuation Cleaner,Daily evacuation-line cleaner with pump.,PowerLINZ daily-use evacuation system cleaner with a convenient premeasured pump; neutral pH and biodegradable.,Daily use | premeasured pump | neutral pH | biodegradable,MARS Bio-Med,,PLINZ.jpg,,"evacuation cleaner, suction line cleaner, daily cleaner, PowerLINZ"
LINZ3,LINZ 3 Pack,Infection Control,Evacuation Cleaner (Combo),Combo pack of LINZ evacuation cleaners.,"LINZ 3 Pack cost-effective combo of evacuation cleaners, each bottle with a premeasured pump; 100% biodegradable and neutral pH.",3-pack | premeasured pumps | biodegradable | neutral pH,MARS Bio-Med,3-pack,LINZ3.jpg,,"evacuation cleaner, combo pack, biodegradable, LINZ 3 pack"
MARSTEK,MARS SilverTEK Mask,Infection Control,Face Mask,3-layer breathable face mask.,"MARS SilverTEK mask with 3-layer protection, breathable all-day comfort and adjustable ear straps; custom branding available.",3-layer | adjustable ear straps | custom branding available,MARS Bio-Med,,MARSTEK.jpg,,"face mask, procedure mask, SilverTEK, infection control, PPE"
MARSTEK2,SilverTEK Barrier Mask,Infection Control,Reusable Barrier Mask,Reusable CDC-standard barrier mask.,SilverTEK reusable barrier mask meeting CDC standard for barrier protection.,Reusable | CDC standard,MARS Bio-Med,,MARSTEK2.jpg,,"barrier mask, reusable mask, SilverTEK, infection control, PPE"
3DP-AT2DA11-HT-012H,3D Prototech Dental Air System - Rocking Piston (1-7 Users),Utility Room Equipment,Rocking Piston Compressor System,"Oil-less tank-mounted dental air compressor with twin tower desiccant dryer, sized for clinics with 1-7 users.","Oil-less rocking piston dental air system, tank mounted with a twin tower heatless regenerative desiccant air dryer. Designed with space in mind for 1-7 user operation. Delivers pure, oil-free compressed air for dental use with a dew point down to -40C to protect equipment and improve patient safety by preventing moisture-driven bacterial growth in the airline. Completely oil-less operation means no oil changes, fewer moving parts, and low maintenance cost. Digital keypad provides dew point monitoring and pressure reading/setting for optimal operation. Built with industrial-grade, non-proprietary components for maximum reliability and uptime.",Oil-less rocking piston / scroll compressor; Twin tower heatless regenerative desiccant air dryer; Ultra-low dew point down to -40C; Digital dew point monitoring; Digital pressure reading and setting via keypad; 2-stage condensation removal; Tank mounted; Single-point connection; Industrial-grade non-proprietary components,3D Prototech,1 system,3DP-AT2DA11-HT-012H.jpg,Yes,"dental air compressor, oil-less compressor, rocking piston, dental air system, desiccant dryer, 1-7 users, oil-free air, twin tower dryer, 3D Prototech"
3DP-AT1LA11-HT-060HT-030SC,3D Prototech Dental Air System - Scroll (8+ Users),Utility Room Equipment,Scroll Compressor System,"Oil-less tank-mounted scroll dental air compressor with twin tower desiccant dryer, sized for larger clinics with 8+ users.","Oil-less scroll dental air system, tank mounted with a twin tower heatless regenerative desiccant air dryer. Designed for larger clinics with over 8 users. Uses advanced oil-less scroll compressor technology to produce pure, oil-free compressed air for dental use with a dew point down to -40C, protecting equipment and improving patient safety by preventing moisture buildup in the airline. Completely oil-less with fewer moving parts and no oil changes for low maintenance cost. Digital keypad provides dew point monitoring and pressure reading/setting for optimal operation. Built with industrial-grade, non-proprietary components to maximize reliability and uptime.",Oil-less rocking piston / scroll compressor; Twin tower heatless regenerative desiccant air dryer; Ultra-low dew point down to -40C; Digital dew point monitoring; Digital pressure reading and setting via keypad; 2-stage condensation removal; Tank mounted; Single-point connection; Industrial-grade non-proprietary components,3D Prototech,1 system,3DP-AT1LA11-HT-060HT-030SC.jpg,,"dental air compressor, oil-less compressor, scroll compressor, dental air system, desiccant dryer, 8+ users, large clinic, oil-free air, twin tower dryer, 3D Prototech"
